id,name,domain,logo_url,dept,price_band,composition,regions,markets,c1,c2
boohoo,Boohoo,boohoo.com,https://cdn.brandfetch.io/boohoo.com?c=YOUR_CLIENT_ID,Womenswear,1,0.1,y2k|hyperfeminine,uk,#B89AA4,#7C6068
gap,Gap,gap.com,https://cdn.brandfetch.io/gap.com?c=YOUR_CLIENT_ID,Both,2,0.35,preppy|elevated_basics,us|global,#8CA0B4,#4E6272
old_navy,Old Navy,oldnavy.gap.com,https://cdn.brandfetch.io/oldnavy.gap.com?c=YOUR_CLIENT_ID,Both,1,0.22,comfort_first|mum_practical,us,#9AAAB8,#5C6C7A
american_eagle,American Eagle,ae.com,https://cdn.brandfetch.io/ae.com?c=YOUR_CLIENT_ID,Both,2,0.25,skater|preppy,us,#8C9CAE,#4E5E70
abercrombie_and_fitch,Abercrombie & Fitch,abercrombie.com,https://cdn.brandfetch.io/abercrombie.com?c=YOUR_CLIENT_ID,Both,2,0.35,preppy|smart_casual,us,#A0A69E,#62685E
cos,COS,cos.com,https://cdn.brandfetch.io/cos.com?c=YOUR_CLIENT_ID,Both,3,0.8,minimalist|quiet_luxury,eu|uk|mena,#B8B0A4,#7A7268
arket,Arket,arket.com,https://cdn.brandfetch.io/arket.com?c=YOUR_CLIENT_ID,Both,3,0.78,scandi_minimal|elevated_basics,eu|uk,#C8C2B6,#8E877A
and_other_stories,& Other Stories,stories.com,https://cdn.brandfetch.io/stories.com?c=YOUR_CLIENT_ID,Womenswear,3,0.62,undone_french|romantic,eu|uk,#C4A898,#8A6E5E
massimo_dutti,Massimo Dutti,massimodutti.com,https://cdn.brandfetch.io/massimodutti.com?c=YOUR_CLIENT_ID,Both,3,0.6,timeless_classic|corporate_polish,eu|mena,#A69684,#6E5E4C
everlane,Everlane,everlane.com,https://cdn.brandfetch.io/everlane.com?c=YOUR_CLIENT_ID,Both,3,0.72,elevated_basics|minimalist,us,#A6ACA8,#6A706C
quince,Quince,onequince.com,https://cdn.brandfetch.io/onequince.com?c=YOUR_CLIENT_ID,Both,3,0.68,quiet_luxury|elevated_basics,us,#BCAE9C,#7E7060
aritzia,Aritzia,aritzia.com,https://cdn.brandfetch.io/aritzia.com?c=YOUR_CLIENT_ID,Womenswear,3,0.55,corporate_polish|clean_girl,us|canada,#B4A8A0,#786C64
reformation,Reformation,thereformation.com,https://cdn.brandfetch.io/thereformation.com?c=YOUR_CLIENT_ID,Womenswear,3,0.5,romantic|cottagecore,us|uk,#B6A890,#7E7058
sezane,Sézane,sezane.com,https://cdn.brandfetch.io/sezane.com?c=YOUR_CLIENT_ID,Womenswear,3,0.7,undone_french|romantic,eu|uk|us,#C0A490,#846856
anthropologie,Anthropologie,anthropologie.com,https://cdn.brandfetch.io/anthropologie.com?c=YOUR_CLIENT_ID,Womenswear,3,0.48,boho|grandmillennial,us|uk,#B49A9E,#7A6064
free_people,Free People,freepeople.com,https://cdn.brandfetch.io/freepeople.com?c=YOUR_CLIENT_ID,Womenswear,3,0.42,boho|festival,us,#BFA48C,#83685A
madewell,Madewell,madewell.com,https://cdn.brandfetch.io/madewell.com?c=YOUR_CLIENT_ID,Womenswear,3,0.52,relaxed_denim|elevated_basics,us,#8C9CA8,#4E5E6A
jcrew,J.Crew,jcrew.com,https://cdn.brandfetch.io/jcrew.com?c=YOUR_CLIENT_ID,Both,3,0.55,preppy|ivy_collegiate,us,#8E9CB0,#505E72
banana_republic,Banana Republic,bananarepublic.gap.com,https://cdn.brandfetch.io/bananarepublic.gap.com?c=YOUR_CLIENT_ID,Both,3,0.5,corporate_polish|smart_casual,us,#A29A90,#645C52
whistles,Whistles,whistles.com,https://cdn.brandfetch.io/whistles.com?c=YOUR_CLIENT_ID,Womenswear,3,0.62,minimalist|corporate_polish,uk,#B0AAA2,#726C64
reiss,Reiss,reiss.com,https://cdn.brandfetch.io/reiss.com?c=YOUR_CLIENT_ID,Both,3,0.58,corporate_polish|sharp_tailoring,uk|mena,#8A8E96,#4C5058
ted_baker,Ted Baker,tedbaker.com,https://cdn.brandfetch.io/tedbaker.com?c=YOUR_CLIENT_ID,Both,3,0.42,smart_casual|print_pattern,uk,#9A8E9E,#5E5262
karen_millen,Karen Millen,karenmillen.com,https://cdn.brandfetch.io/karenmillen.com?c=YOUR_CLIENT_ID,Womenswear,3,0.4,corporate_polish|body_conscious,uk,#A89AA0,#6C5E64
charles_tyrwhitt,Charles Tyrwhitt,charlestyrwhitt.com,https://cdn.brandfetch.io/charlestyrwhitt.com?c=YOUR_CLIENT_ID,Menswear,3,0.45,timeless_classic|sartorial,uk,#8E9AAE,#505C70
boden,Boden,boden.co.uk,https://cdn.brandfetch.io/boden.co.uk?c=YOUR_CLIENT_ID,Both,3,0.45,preppy|print_pattern,uk,#9CA8A0,#5E6A62
hush,Hush,hush-uk.com,https://cdn.brandfetch.io/hush-uk.com?c=YOUR_CLIENT_ID,Womenswear,3,0.55,soft_layers|comfort_first,uk,#B2ACA0,#746E62
rouje,Rouje,rouje.com,https://cdn.brandfetch.io/rouje.com?c=YOUR_CLIENT_ID,Womenswear,3,0.68,undone_french|romantic,eu,#B89096,#7C545A
nanushka,Nanushka,nanushka.com,https://cdn.brandfetch.io/nanushka.com?c=YOUR_CLIENT_ID,Womenswear,4,0.72,soft_layers|quiet_luxury,eu|mena,#B4A692,#786A56
baandsh,Ba&sh,ba-sh.com,https://cdn.brandfetch.io/ba-sh.com?c=YOUR_CLIENT_ID,Womenswear,3,0.62,undone_french|boho,eu|mena,#BFA69A,#83685C
maje,Maje,maje.com,https://cdn.brandfetch.io/maje.com?c=YOUR_CLIENT_ID,Womenswear,3,0.52,corporate_polish|edgy,eu|mena,#A29AA6,#645C68
sandro,Sandro,sandro-paris.com,https://cdn.brandfetch.io/sandro-paris.com?c=YOUR_CLIENT_ID,Both,3,0.56,sharp_tailoring|gallery_black,eu|mena,#909098,#52525A
claudie_pierlot,Claudie Pierlot,claudiepierlot.com,https://cdn.brandfetch.io/claudiepierlot.com?c=YOUR_CLIENT_ID,Womenswear,3,0.6,undone_french|preppy,eu,#B0A6A0,#726862
toteme,Toteme,toteme-studio.com,https://cdn.brandfetch.io/toteme-studio.com?c=YOUR_CLIENT_ID,Womenswear,4,0.88,quiet_luxury|minimalist,eu|us,#B0AAA0,#746E64
the_frankie_shop,The Frankie Shop,thefrankieshop.com,https://cdn.brandfetch.io/thefrankieshop.com?c=YOUR_CLIENT_ID,Both,4,0.78,gallery_black|sharp_tailoring,eu|us,#8A8880,#4E4C46
ganni,Ganni,ganni.com,https://cdn.brandfetch.io/ganni.com?c=YOUR_CLIENT_ID,Womenswear,4,0.6,colour_forward|print_pattern,eu|uk,#A88EA0,#6E5464
staud,Staud,staud.clothing,https://cdn.brandfetch.io/staud.clothing?c=YOUR_CLIENT_ID,Womenswear,4,0.55,colour_forward|statement_led,us,#96A68E,#5A6A52
frame,Frame,frame-store.com,https://cdn.brandfetch.io/frame-store.com?c=YOUR_CLIENT_ID,Both,4,0.62,relaxed_denim|elevated_basics,us,#C2BAA8,#867E6C
agolde,Agolde,agolde.com,https://cdn.brandfetch.io/agolde.com?c=YOUR_CLIENT_ID,Womenswear,4,0.66,relaxed_denim|nineties_minimal,us,#8A98A6,#4C5A68
citizens_of_humanity,Citizens of Humanity,citizensofhumanity.com,https://cdn.brandfetch.io/citizensofhumanity.com?c=YOUR_CLIENT_ID,Both,4,0.68,relaxed_denim|elevated_basics,us,#7E8C9E,#42505E
vince,Vince,vince.com,https://cdn.brandfetch.io/vince.com?c=YOUR_CLIENT_ID,Both,4,0.76,quiet_luxury|soft_layers,us,#B6B0A6,#78726A
theory,Theory,theory.com,https://cdn.brandfetch.io/theory.com?c=YOUR_CLIENT_ID,Both,4,0.72,corporate_polish|minimalist,us|global,#96968C,#585850
joseph,Joseph,joseph-fashion.com,https://cdn.brandfetch.io/joseph-fashion.com?c=YOUR_CLIENT_ID,Both,4,0.8,minimalist|sharp_tailoring,uk|eu,#A2A098,#64625A
meplusem,Me+Em,meandem.com,https://cdn.brandfetch.io/meandem.com?c=YOUR_CLIENT_ID,Womenswear,4,0.66,corporate_polish|colour_forward,uk,#9E96A8,#605868
rixo,Rixo,rixo.co.uk,https://cdn.brandfetch.io/rixo.co.uk?c=YOUR_CLIENT_ID,Womenswear,4,0.5,boho|print_pattern,uk,#BE9E8E,#826256
self_portrait,Self-Portrait,self-portrait-studio.com,https://cdn.brandfetch.io/self-portrait-studio.com?c=YOUR_CLIENT_ID,Womenswear,4,0.48,dressy_occasion|hyperfeminine,uk|mena,#B49AA6,#785E68
cult_gaia,Cult Gaia,cultgaia.com,https://cdn.brandfetch.io/cultgaia.com?c=YOUR_CLIENT_ID,Womenswear,4,0.5,glam|statement_led,us|mena,#C4AC94,#88705A
aje,Aje,aje.com.au,https://cdn.brandfetch.io/aje.com.au?c=YOUR_CLIENT_ID,Womenswear,4,0.56,romantic|resort,au,#C2A8A0,#866C64
zimmermann,Zimmermann,zimmermann.com,https://cdn.brandfetch.io/zimmermann.com?c=YOUR_CLIENT_ID,Womenswear,5,0.6,romantic|resort,au|global,#C6AC9A,#8A7060
isabel_marant,Isabel Marant,isabelmarant.com,https://cdn.brandfetch.io/isabelmarant.com?c=YOUR_CLIENT_ID,Womenswear,4,0.72,boho|undone_french,eu,#B0A08E,#746458
acne_studios,Acne Studios,acnestudios.com,https://cdn.brandfetch.io/acnestudios.com?c=YOUR_CLIENT_ID,Both,4,0.82,gallery_black|avant_garde,eu,#8E8E94,#505056
our_legacy,Our Legacy,ourlegacy.com,https://cdn.brandfetch.io/ourlegacy.com?c=YOUR_CLIENT_ID,Menswear,4,0.84,gallery_black|eclectic_vintage,eu,#8A8A82,#4E4E48
lemaire,Lemaire,lemaire.fr,https://cdn.brandfetch.io/lemaire.fr?c=YOUR_CLIENT_ID,Both,5,0.92,quiet_luxury|avant_garde,eu,#AEA698,#726A5E
studio_nicholson,Studio Nicholson,studionicholson.com,https://cdn.brandfetch.io/studionicholson.com?c=YOUR_CLIENT_ID,Both,4,0.86,minimalist|androgynous,uk,#A6A6A0,#686862
margaret_howell,Margaret Howell,margarethowell.co.uk,https://cdn.brandfetch.io/margarethowell.co.uk?c=YOUR_CLIENT_ID,Both,5,0.9,timeless_classic|quiet_luxury,uk,#B2ADA2,#746F66
sunspel,Sunspel,sunspel.com,https://cdn.brandfetch.io/sunspel.com?c=YOUR_CLIENT_ID,Both,4,0.82,elevated_basics|timeless_classic,uk,#B8B4AC,#7A766E
drakes,Drake's,drakes.com,https://cdn.brandfetch.io/drakes.com?c=YOUR_CLIENT_ID,Menswear,5,0.88,sartorial|ivy_collegiate,uk,#9E8E7E,#625448
oliver_spencer,Oliver Spencer,oliverspencer.co.uk,https://cdn.brandfetch.io/oliverspencer.co.uk?c=YOUR_CLIENT_ID,Menswear,4,0.78,workwear_heritage|eclectic_vintage,uk,#8E8878,#524C40
folk,Folk,folkclothing.com,https://cdn.brandfetch.io/folkclothing.com?c=YOUR_CLIENT_ID,Menswear,4,0.76,minimalist|workwear_heritage,uk,#96968E,#585852
universal_works,Universal Works,universalworks.co.uk,https://cdn.brandfetch.io/universalworks.co.uk?c=YOUR_CLIENT_ID,Menswear,4,0.74,workwear_heritage|americana,uk,#8E8676,#524A3E
carhartt_wip,Carhartt WIP,carhartt-wip.com,https://cdn.brandfetch.io/carhartt-wip.com?c=YOUR_CLIENT_ID,Both,3,0.58,workwear_heritage|streetwear,global,#96866C,#5A4E3C
stone_island,Stone Island,stoneisland.com,https://cdn.brandfetch.io/stoneisland.com?c=YOUR_CLIENT_ID,Menswear,5,0.62,techwear|streetwear,eu|global,#7E8A80,#42504A
arcteryx,Arc'teryx,arcteryx.com,https://cdn.brandfetch.io/arcteryx.com?c=YOUR_CLIENT_ID,Both,5,0.7,gorpcore|techwear,global,#7E8C96,#425058
patagonia,Patagonia,patagonia.com,https://cdn.brandfetch.io/patagonia.com?c=YOUR_CLIENT_ID,Both,4,0.76,gorpcore|rugged_outdoors,global,#8A9A8C,#4E5E52
salomon,Salomon,salomon.com,https://cdn.brandfetch.io/salomon.com?c=YOUR_CLIENT_ID,Both,4,0.58,gorpcore|techwear,global,#88949E,#4A5660
nike,Nike,nike.com,https://cdn.brandfetch.io/nike.com?c=YOUR_CLIENT_ID,Both,3,0.42,sporty|streetwear,global,#7E8288,#42464C
adidas,Adidas,adidas.com,https://cdn.brandfetch.io/adidas.com?c=YOUR_CLIENT_ID,Both,3,0.45,sporty|blokecore,global,#8E96A4,#4E5664
new_balance,New Balance,newbalance.com,https://cdn.brandfetch.io/newbalance.com?c=YOUR_CLIENT_ID,Both,3,0.55,normcore|gorpcore,global,#96A0A8,#586268
lululemon,Lululemon,lululemon.com,https://cdn.brandfetch.io/lululemon.com?c=YOUR_CLIENT_ID,Both,4,0.55,athleisure|sporty,us|global,#8CA0A0,#4E6262
alo_yoga,Alo Yoga,aloyoga.com,https://cdn.brandfetch.io/aloyoga.com?c=YOUR_CLIENT_ID,Womenswear,4,0.42,athleisure|clean_girl,us,#A8A49C,#6A665E
gymshark,Gymshark,gymshark.com,https://cdn.brandfetch.io/gymshark.com?c=YOUR_CLIENT_ID,Both,3,0.35,sporty|athleisure,uk|global,#84888E,#484C52
on_running,On Running,on.com,https://cdn.brandfetch.io/on.com?c=YOUR_CLIENT_ID,Both,4,0.62,sporty|gorpcore,global,#94A0A6,#565E66
levis,Levi's,levi.com,https://cdn.brandfetch.io/levi.com?c=YOUR_CLIENT_ID,Both,3,0.6,relaxed_denim|americana,global,#7E8C9E,#42505E
lee,Lee,lee.com,https://cdn.brandfetch.io/lee.com?c=YOUR_CLIENT_ID,Both,2,0.52,americana|workwear_heritage,global,#7A8898,#3E4C58
wrangler,Wrangler,wrangler.com,https://cdn.brandfetch.io/wrangler.com?c=YOUR_CLIENT_ID,Both,2,0.5,western|americana,us,#8A8272,#4E4638
loro_piana,Loro Piana,loropiana.com,https://cdn.brandfetch.io/loropiana.com?c=YOUR_CLIENT_ID,Both,5,0.94,quiet_luxury|old_money_worn,global,#BFB4A2,#837868
brunello_cucinelli,Brunello Cucinelli,brunellocucinelli.com,https://cdn.brandfetch.io/brunellocucinelli.com?c=YOUR_CLIENT_ID,Both,5,0.92,quiet_luxury|old_money_worn,global,#BCAE9A,#807260
the_row,The Row,therow.com,https://cdn.brandfetch.io/therow.com?c=YOUR_CLIENT_ID,Both,5,0.95,quiet_luxury|minimalist,global,#B4AEA4,#787268
khaite,Khaite,khaite.com,https://cdn.brandfetch.io/khaite.com?c=YOUR_CLIENT_ID,Womenswear,5,0.82,quiet_luxury|sharp_tailoring,us,#A8A29A,#6C665E
bottega_veneta,Bottega Veneta,bottegaveneta.com,https://cdn.brandfetch.io/bottegaveneta.com?c=YOUR_CLIENT_ID,Both,5,0.8,quiet_luxury|statement_led,global,#8A9A7E,#4E5E44
celine,Celine,celine.com,https://cdn.brandfetch.io/celine.com?c=YOUR_CLIENT_ID,Both,5,0.78,gallery_black|sharp_tailoring,global,#8E8E88,#50504A
saint_laurent,Saint Laurent,ysl.com,https://cdn.brandfetch.io/ysl.com?c=YOUR_CLIENT_ID,Both,5,0.7,gallery_black|edgy,global,#76767C,#3A3A40
prada,Prada,prada.com,https://cdn.brandfetch.io/prada.com?c=YOUR_CLIENT_ID,Both,5,0.76,avant_garde|sharp_tailoring,global,#7E8892,#424C56
miu_miu,Miu Miu,miumiu.com,https://cdn.brandfetch.io/miumiu.com?c=YOUR_CLIENT_ID,Womenswear,5,0.68,coquette|y2k,global,#B49CA6,#78606A
gucci,Gucci,gucci.com,https://cdn.brandfetch.io/gucci.com?c=YOUR_CLIENT_ID,Both,5,0.52,maximalist|statement_led,global,#8E8464,#524834
balenciaga,Balenciaga,balenciaga.com,https://cdn.brandfetch.io/balenciaga.com?c=YOUR_CLIENT_ID,Both,5,0.46,streetwear|avant_garde,global,#6E6E74,#2E2E34
loewe,Loewe,loewe.com,https://cdn.brandfetch.io/loewe.com?c=YOUR_CLIENT_ID,Both,5,0.78,avant_garde|statement_led,global,#A69078,#6A5444
jacquemus,Jacquemus,jacquemus.com,https://cdn.brandfetch.io/jacquemus.com?c=YOUR_CLIENT_ID,Both,5,0.66,resort|statement_led,eu|global,#C0AC98,#847060
max_mara,Max Mara,maxmara.com,https://cdn.brandfetch.io/maxmara.com?c=YOUR_CLIENT_ID,Womenswear,5,0.84,quiet_luxury|timeless_classic,global,#BFA88E,#836C56
vinted,Vinted,vinted.com,https://cdn.brandfetch.io/vinted.com?c=YOUR_CLIENT_ID,Both,1,0.66,eclectic_vintage|vintage_led,eu|uk,#96AA9E,#5A6E62
depop,Depop,depop.com,https://cdn.brandfetch.io/depop.com?c=YOUR_CLIENT_ID,Both,1,0.58,y2k|eclectic_vintage,uk|us,#A89AAE,#6C5E72
vestiaire_collective,Vestiaire Collective,vestiairecollective.com,https://cdn.brandfetch.io/vestiairecollective.com?c=YOUR_CLIENT_ID,Both,4,0.8,quiet_luxury|vintage_led,eu|global,#A6A096,#68625A
charity_shops,Charity shops,,,Both,1,0.7,eclectic_vintage|vintage_led,uk,#AEA492,#726856
net_a_porter,Net-a-Porter,net-a-porter.com,https://cdn.brandfetch.io/net-a-porter.com?c=YOUR_CLIENT_ID,Womenswear,5,0.72,quiet_luxury|dressy_occasion,global,#9E9A94,#5E5A54
matches,Matches,matchesfashion.com,https://cdn.brandfetch.io/matchesfashion.com?c=YOUR_CLIENT_ID,Both,5,0.76,quiet_luxury|avant_garde,uk|global,#96928C,#585450
farfetch,Farfetch,farfetch.com,https://cdn.brandfetch.io/farfetch.com?c=YOUR_CLIENT_ID,Both,4,0.66,statement_led|quiet_luxury,global,#8E8A86,#504C48
namshi,Namshi,namshi.com,https://cdn.brandfetch.io/namshi.com?c=YOUR_CLIENT_ID,Both,2,0.32,high_street_current|modest_contemporary,mena,#A8A098,#6A625A
ounass,Ounass,ounass.com,https://cdn.brandfetch.io/ounass.com?c=YOUR_CLIENT_ID,Both,5,0.7,khaleeji_glam|dressy_occasion,mena,#B49E86,#786250
modanisa,Modanisa,modanisa.com,https://cdn.brandfetch.io/modanisa.com?c=YOUR_CLIENT_ID,Womenswear,2,0.44,modest_contemporary|modest_classic,mena|tr,#A8A4B0,#6A6672
